Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Wang Q.; Luo H.; Wang J.; Sun L.; Ma Z.; Zhang C.; Fu M.; Zhao F.,"Wang, Qu (57192910505); Luo, Haiyong (8650731400); Wang, Jianquan (57272363100); Sun, Lei (57226042600); Ma, Zhangchao (57272610400); Zhang, Chaoyi (39262727600); Fu, Meixia (57184859300); Zhao, Fang (55087079700)",57192910505; 8650731400; 57272363100; 57226042600; 57272610400; 39262727600; 57184859300; 55087079700,Recent Advances in Pedestrian Navigation Activity Recognition: A Review,2022.0,IEEE Sensors Journal,22,8,,7499,7518,19.0,17.0,10.1109/JSEN.2022.3153610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125299152&doi=10.1109%2fJSEN.2022.3153610&partnerID=40&md5=15ac3284af0565e3321fab518c60c919,Review,Scopus,2-s2.0-85125299152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan H.-Y.; Ip L.-C.; Mansoor U.; Chen A.,"Chan, Ho-Yin (57221844329); Ip, Lai-Chi (57858507800); Mansoor, Umer (57210603298); Chen, Anthony (35253254800)",57221844329; 57858507800; 57210603298; 35253254800,Pedestrian route choice with respect to new lift-only entrances to underground space: Case study of a metro station area in hilly terrain in Hong Kong,2022.0,Tunnelling and Underground Space Technology,129,,104678,,,,11.0,10.1016/j.tust.2022.104678,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136602648&doi=10.1016%2fj.tust.2022.104678&partnerID=40&md5=ddf9899e961655f5ab027f134c9a3ddf,Article,Scopus,2-s2.0-85136602648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offermann J.; Wilkowska W.; Poli A.; Spinsante S.; Ziefle M.,"Offermann, Julia (57369708800); Wilkowska, Wiktoria (36163715500); Poli, Angelica (57210862853); Spinsante, Susanna (6506113067); Ziefle, Martina (6602475572)",57369708800; 36163715500; 57210862853; 6506113067; 6602475572,Acceptance and preferences of using ambient sensor-based lifelogging technologies in home environments,2021.0,Sensors,21,24,8297,,,,4.0,10.3390/s21248297,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120983955&doi=10.3390%2fs21248297&partnerID=40&md5=0bd9684d665827fe44768d692c905cd3,Article,Scopus,2-s2.0-85120983955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okumura J.,"Okumura, Junko (7005350209)",7005350209,Polarized nature of the COVID-19 pandemic in Japan: associations with population age structure and behaviours,2021.0,Tropical Medicine and Health,49,1,38,,,,4.0,10.1186/s41182-021-00324-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105954617&doi=10.1186%2fs41182-021-00324-0&partnerID=40&md5=d345e2bc25c08207363063a1c51127b7,Article,Scopus,2-s2.0-85105954617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamzaoui H.; Bada Y.; Torre C.M.; Bonifazi A.,"Hamzaoui, Hafnaoui (57641596000); Bada, Yassine (57207243259); Torre, Carmelo Maria (25522663000); Bonifazi, Alessandro (55420651900)",57641596000; 57207243259; 25522663000; 55420651900,"Exploring the segregation of commercial land use by gender in the city centre of Biskra, Algeria A syntactic study, the movement economy process",2022.0,International Review for Spatial Planning and Sustainable Development,10,2,,131,147,16.0,0.0,10.14246/irspsd.10.2_131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128834317&doi=10.14246%2firspsd.10.2_131&partnerID=40&md5=8fe95d6b50c932eefc42460eac8f5ba6,Article,Scopus,2-s2.0-85128834317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suri A.; VanSwearingen J.; Dunlap P.; Redfern M.S.; Rosso A.L.; Sejdić E.,"Suri, Anisha (57216511190); VanSwearingen, Jessie (6701635250); Dunlap, Pamela (57203302500); Redfern, Mark S. (7005248268); Rosso, Andrea L. (24169808500); Sejdić, Ervin (12760262300)",57216511190; 6701635250; 57203302500; 7005248268; 24169808500; 12760262300,Facilitators and barriers to real-life mobility in community-dwelling older adults: a narrative review of accelerometry- and global positioning system-based studies,2022.0,Aging Clinical and Experimental Research,34,8,,1733,1746,13.0,8.0,10.1007/s40520-022-02096-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126034311&doi=10.1007%2fs40520-022-02096-x&partnerID=40&md5=ccf7a6903ad1b687f0a95c1c441b994b,Review,Scopus,2-s2.0-85126034311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Q.; Mu Z.,"Wang, Qingjun (55839090600); Mu, Zhendong (57659608200)",55839090600; 57659608200,Personnel Positioning System Method in Building Based on Inertial Sensor,2022.0,Security and Communication Networks,2022,,5945604,,,,2.0,10.1155/2022/5945604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129320446&doi=10.1155%2f2022%2f5945604&partnerID=40&md5=e4788f929acb9986399a5596f34cf451,Article,Scopus,2-s2.0-85129320446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge C.A.; Rogers T.P.; Banks W.T.; Rush S.A.,"Aldridge, Caleb A. (57201350196); Rogers, Thomas P. (57789726000); Banks, W. Taylor (57790145200); Rush, Scott A. (23036458600)",57201350196; 57789726000; 57790145200; 23036458600,Duped by False-Negative Errors: a Case Study with the Mediterranean Gecko,2021.0,Herpetological Conservation and Biology,16,3,,525,533,8.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133662149&partnerID=40&md5=988856cdd34d5bc1632523a039daae8c,Article,Scopus,2-s2.0-85133662149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liu W.; Chen Q.; Li Y.; Wu Z.,"Liu, Wenping (49361735200); Chen, Qian (57224486191); Li, Yan (57224488210); Wu, Zhiqing (57224470188)",49361735200; 57224486191; 57224488210; 57224470188,Application of GPS tracking for understanding recreational flows within urban park,2021.0,Urban Forestry and Urban Greening,63,,127211,,,,10.0,10.1016/j.ufug.2021.127211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107707063&doi=10.1016%2fj.ufug.2021.127211&partnerID=40&md5=e20e529f05241cba5cc385f3375d19f2,Article,Scopus,2-s2.0-85107707063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang S.; Liu J.; Gong X.; Huang G.; Yin F.,"Yang, S. (57194212341); Liu, J. (36086611900); Gong, X. (57222738367); Huang, G. (57215585999); Yin, F. (57678583500)",57194212341; 36086611900; 57222738367; 57215585999; 57678583500,An adaptive smartphone hybrid indoor positioning solution incorporating heterogeneous sensors,2022.0,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",46,3/W1-2022,,243,248,5.0,1.0,10.5194/isprs-archives-XLVI-3-W1-2022-243-2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129881187&doi=10.5194%2fisprs-archives-XLVI-3-W1-2022-243-2022&partnerID=40&md5=770bcb6c621e83b5fb3e5b20f42d4db4,Conference paper,Scopus,2-s2.0-85129881187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan D.; Wang C.; Liu S.-F.,"Yan, Dong (57872769600); Wang, Chuan (57211339551); Liu, Su-Fang (57211931923)",57872769600; 57211339551; 57211931923,Research on the external spatial vitality of traditional villages based on spatial syntax,2022.0,CIBDA 2022 - 3rd International Conference on Computer Information and Big Data Applications,,,,788,791,3.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181778&partnerID=40&md5=aa2efce3f5c25cd6c5c85e0d80c7670b,Conference paper,Scopus,2-s2.0-85137181778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee D.-G.; Kim J.-G.; Park B.-J.; Shin W.S.,"Lee, Don-Gak (57222075279); Kim, Jin-Gun (57211645177); Park, Bum-Jin (16310541800); Shin, Won Sop (15728713900)",57222075279; 57211645177; 16310541800; 15728713900,"Effect of Forest Users’ Stress on Perceived Restorativeness, Forest Recreation Motivation, and Mental Well-Being during COVID-19 Pandemic",2022.0,International Journal of Environmental Research and Public Health,19,11,6675,,,,7.0,10.3390/ijerph19116675,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131691700&doi=10.3390%2fijerph19116675&partnerID=40&md5=136c03d0bda45a8d64e2850a233d0248,Article,Scopus,2-s2.0-85131691700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajaonarivo L.; Mine T.; Arakawa Y.,"Rajaonarivo, Landy (57191408437); Mine, Tsunenori (7102520998); Arakawa, Yutaka (36095797300)",57191408437; 7102520998; 36095797300,Automatic Generation of Event Ontology from Social Network and Mobile Positioning Data,2021.0,ACM International Conference Proceeding Series,,,,87,94,7.0,4.0,10.1145/3486622.3493933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128664800&doi=10.1145%2f3486622.3493933&partnerID=40&md5=51b520dcd5ad3f9f67136b43d191f7e7,Conference paper,Scopus,2-s2.0-85128664800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazokha S.; Bao F.; Zhai J.; Hallstrom J.O.,"Mazokha, Stepan (57204555473); Bao, Fanchen (57220545978); Zhai, Jiannan (49865060700); Hallstrom, Jason O. (6603797404)",57204555473; 57220545978; 49865060700; 6603797404,MobIntel: Sensing and analytics infrastructure for urban mobility intelligence,2021.0,Pervasive and Mobile Computing,77,,101475,,,,2.0,10.1016/j.pmcj.2021.101475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116616380&doi=10.1016%2fj.pmcj.2021.101475&partnerID=40&md5=c0279f608bc8463cf0c38aa0896919e0,Article,Scopus,2-s2.0-85116616380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bari C.; Dhamaniya A.,"Bari, Chintaman (57218386379); Dhamaniya, Ashish (55894438200)",57218386379; 55894438200,REDUCTION IN ENTRY CAPACITY OF ROUNDABOUT UNDER THE INFLUENCE OF PEDESTRIANS IN MIXED TRAFFIC CONDITIONS,2022.0,Communications - Scientific Letters of the University of Žilina,24,4,,D201,D214,13.0,0.0,10.26552/com.C.2022.4.D201-D214,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145412219&doi=10.26552%2fcom.C.2022.4.D201-D214&partnerID=40&md5=d6ad01b9fd6bd3f2d5f242b31d7696c2,Article,Scopus,2-s2.0-85145412219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borille G.M.R.; da Silva E.J.; do Nascimento M.V.; Bandeira M.C.G.D.S.P.; Rendhol A.L.M.; da Silva L.M.; Ansélmo C.S.; Gomes R.D.A.,"Borille, Giovanna Miceli Ronzani (57210884206); da Silva, Evandro José (57218598574); do Nascimento, Marcus Vinicius (57673066400); Bandeira, Michelle Carvalho Galvão da Silva Pinto (57673066500); Rendhol, Ana Laura Malta (57672514500); da Silva, Lenice Mirian (57672514600); Ansélmo, Carolina Silva (57672792700); Gomes, Rogéria de Arantes (57195064524)",57210884206; 57218598574; 57673066400; 57673066500; 57672514500; 57672514600; 57672792700; 57195064524,Airport passenger building assessment of circulation facilities for smooth traffic and efficient design,2022.0,Simulation Modelling Practice and Theory,119,,102555,,,,1.0,10.1016/j.simpat.2022.102555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129740894&doi=10.1016%2fj.simpat.2022.102555&partnerID=40&md5=52b1c09e690a5902683652ec97b497b5,Review,Scopus,2-s2.0-85129740894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li Y.; Sarvi M.; Khoshelham K.; Zhang Y.; Jiang Y.,"Li, Yan (58446196500); Sarvi, Majid (6603291145); Khoshelham, Kourosh (9737355300); Zhang, Yuyang (57223939577); Jiang, Yazhen (57194397427)",58446196500; 6603291145; 9737355300; 57223939577; 57194397427,Pedestrian Origin–Destination Estimation Based on Multi-Camera Person Re-Identification,2022.0,Sensors,22,19,7429,,,,1.0,10.3390/s22197429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140030115&doi=10.3390%2fs22197429&partnerID=40&md5=6df49e4335345ad3bd02e8d65c18ee57,Article,Scopus,2-s2.0-85140030115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnötzlinger P.; Brezina T.; Emberger G.,"Schnötzlinger, Patrick (57226193347); Brezina, Tadej (36611275700); Emberger, Günter (15032366900)",57226193347; 36611275700; 15032366900,Volunteered mass cycling self-tracking data–grade of representation and aptitude for planning,2022.0,Transportmetrica A: Transport Science,18,3,,1470,1495,25.0,2.0,10.1080/23249935.2021.1948929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110907031&doi=10.1080%2f23249935.2021.1948929&partnerID=40&md5=8ec383aa6d5bf2d570669f9ef88e2dd2,Article,Scopus,2-s2.0-85110907031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hu L.; Ou J.; Huang J.; Wang F.; Wang Y.; Ren B.; Peng H.; Zhou L.,"Hu, Lin (55375336000); Ou, Jian (57215008326); Huang, Jing (56413174000); Wang, Fang (56734854400); Wang, Yanxia (57226760342); Ren, Bo (57226742087); Peng, Hua (57226757554); Zhou, Lei (57226744393)",55375336000; 57215008326; 56413174000; 56734854400; 57226760342; 57226742087; 57226757554; 57226744393,"Safety evaluation of pedestrian-vehicle interaction at signalized intersections in Changsha, China",2022.0,Journal of Transportation Safety and Security,14,10,,1750,1775,25.0,23.0,10.1080/19439962.2021.1960662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112536961&doi=10.1080%2f19439962.2021.1960662&partnerID=40&md5=0d51e34c2d089798fdbea6ecd18f9398,Article,Scopus,2-s2.0-85112536961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ren H.; Ma C.; Wang Z.; Hu D.,"Ren, Haolin (57197845920); Ma, Cong (57933285200); Wang, Zheng (59105290600); Hu, Daning (8963143000)",57197845920; 57933285200; 59105290600; 8963143000,Hi-Geo-Ti: A Visual Analytic Design for Pedestrian Trajectories Using Hierarchical Geographical Timelines; [Hi-Geo-Ti: 基于层次地理划分时间线的行人轨迹可视化分析系统],2022.0,Jisuanji Fuzhu Sheji Yu Tuxingxue Xuebao/Journal of Computer-Aided Design and Computer Graphics,34,9,,1372,1378,6.0,0.0,10.3724/SP.J.1089.2022.19269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140137626&doi=10.3724%2fSP.J.1089.2022.19269&partnerID=40&md5=38ea8b0b3e085ed3496e1a40fbfea649,Article,Scopus,2-s2.0-85140137626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu C.; Wang L.; Easa S.M.; Yang Y.,"Xu, Changbin (57729448700); Wang, Linwei (57679901300); Easa, Said M. (7005999634); Yang, Yanqun (57190731493)",57729448700; 57679901300; 7005999634; 57190731493,Analysis of students’ anger during riding electric bicycles on campus,2022.0,Heliyon,8,6,e09561,,,,3.0,10.1016/j.heliyon.2022.e09561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131411508&doi=10.1016%2fj.heliyon.2022.e09561&partnerID=40&md5=8f2e39fc7afffd28cf5075bb962d2fe5,Article,Scopus,2-s2.0-85131411508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tong Y.; Bode N.W.F.,"Tong, Yunhe (57202582028); Bode, Nikolai W.F. (36477124700)",57202582028; 36477124700,Higher investment levels into pre-planned routes increase the adherence of pedestrians to them,2021.0,Transportation Research Part F: Traffic Psychology and Behaviour,82,,,297,315,18.0,7.0,10.1016/j.trf.2021.07.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115196415&doi=10.1016%2fj.trf.2021.07.019&partnerID=40&md5=de42bb34072d471d2d0751f1830fe71d,Article,Scopus,2-s2.0-85115196415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimm H.; Flynn D.,"Kimm, Haklin (22734196100); Flynn, Dennis (58040201500)",22734196100; 58040201500,Android Application for Tracking Pedestrian Movements in Realtime with Firebase,2022.0,"Proceedings - 2022 IEEE Cloud Summit, Cloud Summit 2022",,,,91,96,5.0,2.0,10.1109/CloudSummit54781.2022.00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145440875&doi=10.1109%2fCloudSummit54781.2022.00020&partnerID=40&md5=b915e8872a11f0e0a958f5b292b3cf98,Conference paper,Scopus,2-s2.0-85145440875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakovich S.Y.; Siek Y.L.,"Sakovich, Sergey Yu. (57210115662); Siek, Yuri L. (57207981721)",57210115662; 57207981721,Mathematical Modeling of the Process of Forming Video Frames by the Computer Vision System of an Underwater Vehicle,2021.0,"Proceedings - 2021 International Russian Automation Conference, RusAutoCon 2021",,,,392,397,5.0,0.0,10.1109/RusAutoCon52004.2021.9537375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116140709&doi=10.1109%2fRusAutoCon52004.2021.9537375&partnerID=40&md5=7303bbdf44042b485dd8c13de8796ca5,Conference paper,Scopus,2-s2.0-85116140709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhao L.; Li Y.,"Zhao, Li (57199019749); Li, Ying (56092100700)",57199019749; 56092100700,IDENTIFYING ORIGIN-DESTINATION TRIPS FROM GPS DATA – APPLICATION IN TRAVEL TIME RELIABILITY OF DEDICATED TRUCKS,2022.0,Promet - Traffic and Transportation,34,1,,25,38,13.0,0.0,10.7307/ptt.v34i1.3799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128235147&doi=10.7307%2fptt.v34i1.3799&partnerID=40&md5=2ec20d832d444ecd0e5be9d7c63a2882,Article,Scopus,2-s2.0-85128235147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navarro-Rosas A.A.; Obregón-Biosca S.A.,"Navarro-Rosas, Anubis Alberto (57787407800); Obregón-Biosca, Saul Antonio (40462343500)",57787407800; 40462343500,Pedestrian behavior in signalized intersections: Santiago de Querétaro,2022.0,Journal of Transport and Health,26,,101414,,,,3.0,10.1016/j.jth.2022.101414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133570309&doi=10.1016%2fj.jth.2022.101414&partnerID=40&md5=a9c5238c2395438704e9ffe9730055c7,Article,Scopus,2-s2.0-85133570309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offermann J.; Wilkowska W.; Ziefle M.,"Offermann, Julia (57369708800); Wilkowska, Wiktoria (36163715500); Ziefle, Martina (6602475572)",57369708800; 36163715500; 6602475572,Identifying User Preferences of Data Handling Using Assisting Technologies,2022.0,ACM International Conference Proceeding Series,,,,129,136,7.0,0.0,10.1145/3529190.3529196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134429229&doi=10.1145%2f3529190.3529196&partnerID=40&md5=c7712f710416adb61be99d918d5da285,Conference paper,Scopus,2-s2.0-85134429229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schumann H.-H.; Haitao H.; Natapov A.; Quddus M.,"Schumann, Hans-Heinrich (58042203500); Haitao, He (57221467730); Natapov, Asya (55916324100); Quddus, Mohammed (7004336654)",58042203500; 57221467730; 55916324100; 7004336654,Applying space syntax to traffic volume models of micro-mobility,2022.0,"Proceedings 13th International Space Syntax Symposium, SSS 2022",,,366,,,,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145611693&partnerID=40&md5=b2f3f360e6bb711d8ca5ea1546aebe1a,Conference paper,Scopus,2-s2.0-85145611693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu Y.; Chen R.; Li W.; Yu Y.; Zhou H.; Yan K.,"Wu, Yuan (57220892141); Chen, Ruizhi (25029686800); Li, Wei (57196304592); Yu, Yue (57207816457); Zhou, Haitao (57218204794); Yan, Ke (57224306687)",57220892141; 25029686800; 57196304592; 57207816457; 57218204794; 57224306687,Indoor Positioning Based on Walking-Surveyed Wi-Fi Fingerprint and Corner Reference Trajectory-Geomagnetic Database,2021.0,IEEE Sensors Journal,21,17,9447007,18964,18977,13.0,24.0,10.1109/JSEN.2021.3086485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107356030&doi=10.1109%2fJSEN.2021.3086485&partnerID=40&md5=d1fabf838e655ddc3524746fd180e2e4,Article,Scopus,2-s2.0-85107356030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint S.W.; Piotrkowicz A.; Watts K.,"Flint, S.W. (56117345900); Piotrkowicz, A. (57194681359); Watts, K. (36010992400)",56117345900; 57194681359; 36010992400,Use of Artificial Intelligence to understand adults’ thoughts and behaviours relating to COVID-19,2022.0,Perspectives in Public Health,142,3,,167,174,7.0,8.0,10.1177/1757913920979332,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099988127&doi=10.1177%2f1757913920979332&partnerID=40&md5=48c29d96696b8ed13718c9172b7880e6,Review,Scopus,2-s2.0-85099988127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braut B.; Migheli M.; Truant E.,"Braut, Beatrice (57409400900); Migheli, Matteo (35183653400); Truant, Elisa (57140643300)",57409400900; 35183653400; 57140643300,"Household mobility in food purchasing during COVID-19 lockdown: Evidence from Torino, Italy",2022.0,Cities,122,,103554,,,,9.0,10.1016/j.cities.2021.103554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122662834&doi=10.1016%2fj.cities.2021.103554&partnerID=40&md5=eeb91279726cfff7e0dd85f39b991859,Article,Scopus,2-s2.0-85122662834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico G.; Carla C.G.; Margherita M.,"Domenico, Gattuso (6507371094); Carla, Cassone Gian (43661013300); Margherita, Malara (57429033800)",6507371094; 43661013300; 57429033800,Experimental models of pedestrian flows as support to design new sustainable paths in urban context,2022.0,Transportation Research Procedia,60,,,188,195,7.0,5.0,10.1016/j.trpro.2021.12.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123613758&doi=10.1016%2fj.trpro.2021.12.025&partnerID=40&md5=57873699080218efe69b63c9ef79c578,Conference paper,Scopus,2-s2.0-85123613758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfitzner N.; Fitz-Gibbon K.; True J.,"Pfitzner, Naomi (57193386767); Fitz-Gibbon, Kate (36924784700); True, Jacqui (23669525100)",57193386767; 36924784700; 23669525100,When staying home isn’t safe: Australian practitioner experiences of responding to intimate partner violence during COVID-19 restrictions,2022.0,Journal of Gender-Based Violence,6,2,,297,314,17.0,11.0,10.1332/239868021X16420024310873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134071490&doi=10.1332%2f239868021X16420024310873&partnerID=40&md5=6127e7e195563b8416103eebb7dc3544,Article,Scopus,2-s2.0-85134071490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wong P.K.-Y.; Luo H.; Wang M.; Leung P.H.; Cheng J.C.P.,"Wong, Peter Kok-Yiu (57210803584); Luo, Han (57211907635); Wang, Mingzhu (57202642024); Leung, Pak Him (57225984268); Cheng, Jack C.P. (57204665849)",57210803584; 57211907635; 57202642024; 57225984268; 57204665849,Recognition of pedestrian trajectories and attributes with computer vision and deep learning techniques,2021.0,Advanced Engineering Informatics,49,,101356,,,,25.0,10.1016/j.aei.2021.101356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109976501&doi=10.1016%2fj.aei.2021.101356&partnerID=40&md5=aa73b9823f5a4d5e2891b28f72755918,Article,Scopus,2-s2.0-85109976501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananth C.; Thenmozhi P.; Vadakkan D.J.; Kavitha S.; Kumar T.A.,"Ananth, Christo (57198803549); Thenmozhi, P. (57223007139); Vadakkan, Densy John (58067762900); Kavitha, S. (59012876600); Kumar, T. Ananth (57191486735)",57198803549; 57223007139; 58067762900; 59012876600; 57191486735,Artificial Intelligence based Visual Aid with Live Tracking of Visually Impaired People,2022.0,"Proceedings of International Conference on Technological Advancements in Computational Sciences, ICTACS 2022",,,,573,577,4.0,3.0,10.1109/ICTACS56270.2022.9988614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146368366&doi=10.1109%2fICTACS56270.2022.9988614&partnerID=40&md5=ba2eb7b364427dfbed3072d28d39cfb3,Conference paper,Scopus,2-s2.0-85146368366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
